# Gnuplot File : forces of 1 particle(s) Monitored
# 1st Column : time, others : particle(s) number 0 
1.98	-521.036 -19.6194 0 0 0 -9.80828	
1.99	-473.655 -19.6194 0 0 0 -9.80825	
2	-430.583 -19.6194 0 0 0 -9.80822	
2.01	-391.428 -19.6194 0 0 0 -9.80819	
2.02	-31771.8 -19.6193 0 0 0 -9.80816	
2.03	-28891.7 -19.6193 0 0 0 -9.80814	
2.04	-26264.4 -19.6193 0 0 0 -9.80811	
2.05	-55292 -19.6193 0 0 0 -9.80808	
2.06	-50273.1 -19.6193 0 0 0 -9.80806	
2.07	-45701.5 -19.6193 0 0 0 -9.80803	
2.08	-72961.6 -19.6193 0 0 0 -9.80801	
2.09	-66335.9 -19.6193 0 0 0 -9.80798	
2.1	-91719.6 -19.6193 0 0 0 -9.80796	
2.11	-83388.1 -19.6193 0 0 0 -9.80793	
2.12	-75805.2 -19.6193 0 0 0 -9.80791	
2.13	-68911.9 -19.6192 0 0 0 -9.80789	
2.14	-94061.3 -19.6192 0 0 0 -9.80786	
2.15	-85516.9 -19.6192 0 0 0 -9.80784	
2.16	-109156 -19.6192 0 0 0 -9.80782	
2.17	-99239.2 -19.6192 0 0 0 -9.8078	
2.18	-90214.9 -19.6192 0 0 0 -9.80778	
2.19	-113427 -19.6192 0 0 0 -9.80776	
2.2	-103122 -19.6192 0 0 0 -9.80774	
2.21	-93744.4 -19.6192 0 0 0 -9.80772	
2.22	-116636 -19.6192 0 0 0 -9.8077	
2.23	-106038 -19.6192 0 0 0 -9.80768	
2.24	-96395.8 -19.6192 0 0 0 -9.80766	
2.25	-119046 -19.6192 0 0 0 -9.80765	
2.26	-108230 -19.6192 0 0 0 -9.80763	
2.27	-98387.7 -19.6192 0 0 0 -9.80761	
2.28	-120857 -19.6192 0 0 0 -9.8076	
2.29	-109876 -19.6191 0 0 0 -9.80758	
2.3	-99884.2 -19.6191 0 0 0 -9.80757	
2.31	-122217 -19.6191 0 0 0 -9.80755	
2.32	-111112 -19.6191 0 0 0 -9.80754	
2.33	-132424 -19.6191 0 0 0 -9.80752	
2.34	-120391 -19.6191 0 0 0 -9.80751	
2.35	-109444 -19.6191 0 0 0 -9.8075	
2.36	-130907 -19.6191 0 0 0 -9.80748	
2.37	-119012 -19.6191 0 0 0 -9.80747	
2.38	-108190 -19.6191 0 0 0 -9.80746	
2.39	-129768 -19.6191 0 0 0 -9.80745	
2.4	-117976 -19.6191 0 0 0 -9.80744	
2.41	-107248 -19.6191 0 0 0 -9.80743	
2.42	-128911 -19.6191 0 0 0 -9.80742	
2.43	-117198 -19.6191 0 0 0 -9.80741	
2.44	-137956 -19.6191 0 0 0 -9.8074	
2.45	-125420 -19.6191 0 0 0 -9.80739	
2.46	-114015 -19.6191 0 0 0 -9.80739	
2.47	-135063 -19.6191 0 0 0 -9.80738	
2.48	-122790 -19.6191 0 0 0 -9.80737	
2.49	-111624 -19.6191 0 0 0 -9.80737	
2.5	-132890 -19.6191 0 0 0 -9.80736	
2.51	-120814 -19.6191 0 0 0 -9.80735	
2.52	-109828 -19.6191 0 0 0 -9.80735	
2.53	-131257 -19.6191 0 0 0 -9.80735	
2.54	-119330 -19.6191 0 0 0 -9.80734	
2.55	-108479 -19.6191 0 0 0 -9.80734	
2.56	-130030 -19.6191 0 0 0 -9.80734	
2.57	-118215 -19.6191 0 0 0 -9.80733	
2.58	-107465 -19.6191 0 0 0 -9.80733	
2.59	-129109 -19.6191 0 0 0 -9.80733	
2.6	-117377 -19.6191 0 0 0 -9.80733	
2.61	-138119 -19.6191 0 0 0 -9.80733	
2.62	-125569 -19.6191 0 0 0 -9.80733	
2.63	-114150 -19.6191 0 0 0 -9.80733	
2.64	-135186 -19.6191 0 0 0 -9.80733	
2.65	-122902 -19.6191 0 0 0 -9.80733	
2.66	-111726 -19.6191 0 0 0 -9.80733	
2.67	-132982 -19.6191 0 0 0 -9.80733	
2.68	-120898 -19.6191 0 0 0 -9.80734	
2.69	-109904 -19.6191 0 0 0 -9.80734	
2.7	-131326 -19.6191 0 0 0 -9.80734	
2.71	-119393 -19.6191 0 0 0 -9.80735	
2.72	-139952 -19.6191 0 0 0 -9.80735	
2.73	-127234 -19.6191 0 0 0 -9.80736	
2.74	-115664 -19.6191 0 0 0 -9.80736	
2.75	-136562 -19.6191 0 0 0 -9.80737	
2.76	-124153 -19.6191 0 0 0 -9.80737	
2.77	-112863 -19.6191 0 0 0 -9.80738	
2.78	-134016 -19.6191 0 0 0 -9.80739	
2.79	-121838 -19.6191 0 0 0 -9.8074	
2.8	-142175 -19.6191 0 0 0 -9.8074	
2.81	-129255 -19.6191 0 0 0 -9.80741	
2.82	-117501 -19.6191 0 0 0 -9.80742	
2.83	-138232 -19.6191 0 0 0 -9.80743	
2.84	-125671 -19.6191 0 0 0 -9.80744	
2.85	-114243 -19.6191 0 0 0 -9.80745	
2.86	-135270 -19.6191 0 0 0 -9.80746	
2.87	-122979 -19.6191 0 0 0 -9.80747	
2.88	-111796 -19.6191 0 0 0 -9.80748	
2.89	-133045 -19.6191 0 0 0 -9.8075	
2.9	-120956 -19.6191 0 0 0 -9.80751	
2.91	-109957 -19.6191 0 0 0 -9.80752	
2.92	-131374 -19.6191 0 0 0 -9.80753	
2.93	-119436 -19.6191 0 0 0 -9.80755	
2.94	-108575 -19.6192 0 0 0 -9.80756	
2.95	-130118 -19.6192 0 0 0 -9.80758	
